order_id,pizza_id
1,hawaiian_m
2,classic_dlx_m
2,five_cheese_l
2,ital_supr_l
2,mexicana_m
2,thai_ckn_l
3,ital_supr_m
3,prsc_argla_l
4,ital_supr_m
5,ital_supr_m
6,bbq_ckn_s
6,the_greek_s
7,spinach_supr_s
8,spinach_supr_s
9,classic_dlx_s
9,green_garden_s
9,ital_cpcllo_l
9,ital_supr_l
9,ital_supr_s
9,mexicana_s
9,spicy_ital_l
9,spin_pesto_l
9,veggie_veg_s
10,mexicana_l
10,southw_ckn_l
11,bbq_ckn_l
11,cali_ckn_l
11,cali_ckn_m
11,pepperoni_l
12,cali_ckn_l
12,cali_ckn_s
12,ckn_pesto_l
12,ital_supr_m
13,mexicana_l
14,the_greek_s
15,big_meat_s
15,five_cheese_l
15,soppressata_l
15,the_greek_s
16,four_cheese_l
16,napolitana_s
16,thai_ckn_l
17,bbq_ckn_l
17,calabrese_m
17,five_cheese_l
17,four_cheese_m
17,ital_supr_m
17,ital_veggie_s
17,mediterraneo_m
17,mexicana_l
17,peppr_salami_s
17,spinach_fet_l
18,napolitana_l
19,ital_cpcllo_l
19,sicilian_l
20,big_meat_s
20,five_cheese_l
21,ital_cpcllo_l
22,five_cheese_l
22,ital_cpcllo_m
22,southw_ckn_l
23,southw_ckn_s
24,bbq_ckn_m
24,ital_cpcllo_m
24,pepperoni_m
24,prsc_argla_s
25,sicilian_m
25,thai_ckn_l
26,classic_dlx_s
26,veggie_veg_l
27,bbq_ckn_l
27,classic_dlx_m
27,spinach_fet_l
28,ckn_alfredo_s
29,green_garden_s
30,thai_ckn_l
31,mexicana_m
31,pepperoni_s
32,big_meat_s
32,green_garden_l
32,ital_cpcllo_l
32,ital_supr_m
33,bbq_ckn_l
33,green_garden_s
34,the_greek_s
35,green_garden_m
35,pep_msh_pep_l
35,pepperoni_m
35,thai_ckn_l
36,bbq_ckn_m
36,classic_dlx_m
37,ital_supr_l
37,mexicana_l
38,hawaiian_s
38,ital_cpcllo_l
39,ital_supr_l
40,four_cheese_l
40,southw_ckn_s
41,four_cheese_m
41,green_garden_s
42,big_meat_s
42,five_cheese_l
42,mexicana_l
42,peppr_salami_m
43,ckn_alfredo_m
43,ital_supr_m
43,peppr_salami_l
44,spin_pesto_s
45,four_cheese_l
45,hawaiian_s
45,thai_ckn_m
46,ckn_pesto_l
46,classic_dlx_l
46,thai_ckn_m
47,southw_ckn_l
47,veggie_veg_s
48,ckn_pesto_m
48,green_garden_s
48,prsc_argla_l
48,spicy_ital_l
49,sicilian_l
50,the_greek_xl
51,bbq_ckn_l
51,pep_msh_pep_l
52,hawaiian_l
52,mexicana_l
52,spicy_ital_l
53,pep_msh_pep_s
53,spinach_supr_m
54,prsc_argla_m
54,thai_ckn_l
55,peppr_salami_s
55,spicy_ital_l
56,classic_dlx_m
56,mediterraneo_l
56,southw_ckn_m
57,classic_dlx_m
58,five_cheese_l
58,pepperoni_m
59,ital_veggie_s
59,pep_msh_pep_s
59,pepperoni_l
60,ckn_pesto_l
60,four_cheese_m
61,bbq_ckn_m
61,ital_supr_l
62,bbq_ckn_m
62,spinach_supr_m
63,pep_msh_pep_m
64,big_meat_s
65,pep_msh_pep_s
65,sicilian_s
65,spicy_ital_s
65,spinach_supr_m
66,classic_dlx_m
66,ital_cpcllo_m
67,southw_ckn_l
68,classic_dlx_m
68,ital_supr_l
68,ital_supr_m
69,bbq_ckn_l
70,ital_veggie_s
70,soppressata_l
71,thai_ckn_l
72,spinach_fet_l
73,thai_ckn_s
74,five_cheese_l
74,mexicana_l
74,spin_pesto_s
74,spinach_supr_l
75,ital_supr_s
75,mediterraneo_l
75,napolitana_l
76,big_meat_s
76,hawaiian_l
76,ital_veggie_l
76,spicy_ital_l
77,bbq_ckn_m
77,hawaiian_m
78,big_meat_s
78,classic_dlx_s
78,four_cheese_l
78,ital_cpcllo_m
78,spicy_ital_l
78,thai_ckn_s
79,ital_cpcllo_l
79,pep_msh_pep_s
79,thai_ckn_l
80,pepperoni_s
80,thai_ckn_m
81,thai_ckn_l
82,big_meat_s
82,cali_ckn_m
82,spicy_ital_l
82,veggie_veg_m
83,southw_ckn_s
84,pepperoni_l
